"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.406173860320378,-0.128485390889031,0.231914967307309,0,1,1
"LOC111109452",1.86564313964656,0.326800899148156,0.259332085599047,0.296148850886495,0.767116408651809,1
"LOC111124802",240.629966780346,-0.0869909789426393,0.115515396833139,0,1,1
"LOC111101273",86.2934472457917,-0.0305894316118922,0.16174602569721,0,1,1
"LOC111101250",141.48529904017,-0.361925740021277,0.165562553657992,-0.676032940712465,0.499019731055487,1
"LOC111101262",298.062798550549,-0.0846942953715165,0.126231043245812,0,1,1
"LOC111133260",30.5070275563994,-0.40875069985937,0.26628999772713,-0.596157201601102,0.551070213853994,1
"LOC111113503",19.1860582683141,-0.792779125551658,0.285128533224426,-1.90362963472489,0.0569584364579418,1
"LOC111102393",28.6277575944762,-0.119836053074951,0.284347346515488,0,1,1
"LOC111119377",53.3394620052316,0.0720142700520049,0.368390719613118,0,1,1
"LOC111101799",13.7965689167796,0.297660286385364,0.335017332533724,0.142262151109947,0.886872941439599,1
"LOC111117743",16.5497298674833,-0.0541024785530604,0.268221291961925,0,NA,NA
"LOC111117672",252.944933786525,0.00176064707934983,0.112558871101424,0,1,1
"LOC111114053",35.9038470345196,-0.885711453610591,0.262694493281323,-2.41996490169971,0.0155220052103691,1
"LOC111109809",3.06882914546693,0.601778041414197,0.367286492982918,0.957775600614198,0.338175925215136,1
"LOC111135172",1.85991284302368,-0.0314288556792883,0.201872399895108,0,1,1
"LOC111114201",548.921070406464,-0.214992521132822,0.113304569872034,0,1,1
"LOC111114212",207.235794879644,-0.0476366061788112,0.117317644018629,0,1,1
"LOC111138315",133.908536896481,-0.188723778190669,0.172541973511827,0,1,1
"LOC111138321",138.140847824011,0.0573233989228228,0.159987083753172,0,1,1
"LOC111121058",69.1859487178712,0.0829769443535153,0.264927495853155,0,1,1
"LOC111138070",2.69353861120293,-0.0620407372513997,0.124221292203203,0,1,1
"LOC111108878",0.629548837190816,-0.172781559702606,0.148815318442483,0,1,1
"LOC111108901",14.504988769645,-0.108035420116338,0.342352279256712,0,1,1
"LOC111130095",38.4622516384064,-0.22444212929804,0.24079240477836,0,1,1
"LOC111103224",2.02255609908252,0.26713176685516,0.332755321117584,0.0514845767082608,0.958939391555764,1
"LOC111131060",0.102878499641866,0.0219509401725165,0.119781596895985,0,1,1
"LOC111131074",0.495197744657769,-0.0859687835036886,0.120024949409657,0,1,1
"LOC111131094",0.0347652635590691,0.00634633479567065,0.119781480427549,0,1,1
"LOC111136780",241.905934393851,-0.0502529799137459,0.179027679059805,0,1,1
"LOC111133372",286.984524941705,-0.145509454045662,0.155008906894933,0,1,1
"LOC111137104",114.00156886013,0.395893363618886,0.147413182700765,0.989690073478957,0.322325628364112,1
"LOC111099747",2.56423146018981,-0.664935229523628,0.359668652255709,-1.15365970017489,0.248639712102064,1
"LOC111129066",0.326762857998768,0,0.120556245130494,0,1,1
"LOC111115406",8.52197240631486,-0.28689737503448,0.368146189842368,-0.100224791271855,0.920165864517249,1
"LOC111114430",0.405686859916896,-0.00665793268625213,0.218753619393839,0,1,1
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.401913150344712,-0.015483786098478,0.120834707843749,0,1,1
"LOC111103230",2.41033121221193,0.0816554756650514,0.345281959932594,0,1,1
"LOC111101640",0.47836090930985,-0.167424486388914,0.251555448458143,0,1,1
"LOC111103163",1.43833803090604,0.181503821849809,0.280123312346987,0,1,1
"LOC111103177",0.457990086807979,0,0.138106946784179,0,1,1
"LOC111102448",79.7358694969549,0.157467079275928,0.211520546538485,0,1,1
"LOC111129274",1.02765644261117,0.154776754186706,0.3231811923847,0,1,1
"LOC111113346",65.997749508049,0.0502726921133494,0.217341124672352,0,1,1
"LOC111100652",70.5314840598567,0.112343377049726,0.253444878152025,0,1,1
"LOC111134791",234.838533242459,0.117872673041829,0.154505811875928,0,1,1
"LOC111128971",100.434468037047,-0.255972544541245,0.177817142933955,-0.0335881256593113,0.973205591277947,1
"LOC111104153",18.2371936156585,0.312597404148867,0.285951991380233,0.218908789012875,0.826721099872602,1
"LOC111134573",0.213443644391176,0.0330269363006132,0.120040930519078,0,1,1
"LOC111129318",5.23810569592571,0.111964780766834,0.259927156654231,0,1,1
"LOC111134552",0.628659310749133,0.349750785224134,0.221873258736007,0.449584532144189,0.653010043301404,1
"LOC111134566",0.977546575882015,0.100835088294201,0.181641499174441,0,1,1
"LOC111121733",63.4392850889245,-0.175165938775494,0.203129727530066,0,1,1
"LOC111109754",0.505015799153218,0.0444777108389209,0.142342674359043,0,1,1
"LOC111109745",1.34033401616694,-0.229717412740315,0.318171426027197,0,1,1
"LOC111099207",0.740611835894792,-0.00588117583308142,0.296203740901524,0,1,1
"LOC111103463",0.108853475982434,-0.0303586163002715,0.119781640196406,0,1,1
"LOC111131721",50.8739336039136,0.122196903957499,0.238887178244354,0,1,1
"LOC111131752",12.1440157931741,-0.319734871163965,0.321168023166982,-0.217128936051358,0.828107864134669,1
"LOC111131766",9.34340552273571,0.36924598510273,0.362460206433571,0.328990556718078,0.742162825752902,1
"LOC111131682",220.538331963409,-0.111602096838879,0.107309390839764,0,1,1
"LOC111128103",231.536187720714,0.00310611705393903,0.161281105025601,0,1,1
"LOC111100789",0.805773083336342,0.219497890589556,0.264174052536776,0,1,1
"LOC111100985",2.81569984452935,0.0599775911167029,0.236378855333897,0,NA,NA
"LOC111103245",0.861364893011965,-0.0294456325229191,0.129785720411783,0,1,1
"LOC111112387",141.31557800487,-0.0933853823814474,0.1704905221704,0,1,1
"LOC111114799",21.9682385025003,-0.174685898215378,0.303477571200305,0,1,1
"LOC111129446",69.1392962164505,-0.099071140944787,0.167056272595154,0,1,1
"LOC111100566",55.5785311668068,-0.0349202860006218,0.2202430848398,0,1,1
"LOC111136882",35.0757116709159,-0.424472315865693,0.292074231862546,-0.597356071958452,0.550269675542649,1
"LOC111136873",36.7174003966828,-0.0811047580868111,0.364428820429348,0,1,1
"LOC111129522",0.749336757301896,-0.00891633300742672,0.15521565698542,0,1,1
"LOC111100662",5.44240150341753,-0.00284477610172399,0.267963503526418,0,NA,NA
"LOC111100672",6.76376071178143,-0.0463657518637218,0.224947070031932,0,NA,NA
"LOC111105302",4.88169889761454,-0.328089330316453,0.362465894471491,-0.215439111672327,0.82942497915,1
"LOC111137770",4.91483858992061,-0.343480584150119,0.364182149674289,-0.256686342902103,0.797420915181079,1
"LOC111119645",0.676546608449526,0.0302410643785788,0.175512742663542,0,1,1
"LOC111103288",18.6746962877767,-0.490833713902376,0.296668360623502,-0.811794400306863,0.416909615745035,1
"LOC111129738",3.46239559349534,0.295971633352942,0.366402135329285,0.12546770043146,0.900153294262492,1
"LOC111129748",0.654340874282133,0.139707414544281,0.126670754681015,0,1,1
"LOC111134153",2.75470691389156,-0.155646564380606,0.339661041757748,0,1,1
"LOC111133651",128.878189332636,-0.226159757887467,0.126921286970461,0,1,1
"LOC111105807",163.192945541317,-0.0874422205086674,0.135027889700108,0,1,1
"LOC111129837",19.1068951858087,0.215705881250821,0.249207757093114,0,1,1
"LOC111129861",0.70836162636749,-0.145447972117295,0.276133644254637,0,1,1
"LOC111129878",1.19107257107308,0.081509055931735,0.273435117834909,0,1,1
"LOC111104541",0.101679785029982,0,0.119781596895985,0,1,1
"LOC111126076",0.702254826007919,-0.228047792251411,0.279697065870995,0,1,1
"LOC111126102",16.949997874718,0.545306201836177,0.29776414314425,0.991745341523937,0.321321766796318,1
"LOC111129935",13.6366680911357,-0.46347059552343,0.368513674201851,-0.579274557411682,0.562403930070056,1
"LOC111116034",5.44885390060688,0.0208488562556807,0.365978258333962,0,1,1
"LOC111111995",9.24652385834177,-0.121382687272847,0.338356898804263,0,1,1
"LOC111130149",0.851456670844841,-0.0240797940869548,0.265897905243335,0,1,1
"LOC111134929",12.4926558357319,-0.343187218176747,0.290888526543931,-0.320353708287883,0.748700213255965,1
"LOC111118727",2.09194706667877,0.274815628103725,0.36332399299146,0.0683016497187641,0.945545510912174,1
"LOC111103139",23.5005509625155,-0.10712257849954,0.286104772363348,0,1,1
"LOC111119020",10.6608354748434,-0.259130992740267,0.367761168240681,-0.0248285940137409,0.980191683360345,1
"LOC111125333",100.760490721619,-0.167241774117428,0.134406838134308,0,1,1
"LOC111136966",44.7409593460334,-0.0911027967267007,0.214257787950141,0,1,1
"LOC111115980",1.24335411909632,0.0152630709477171,0.234076191356632,0,1,1
"LOC111112068",46.8036665964611,0.0100355942139749,0.189304128136883,0,1,1
"LOC111106561",2.69048639581442,0.41562799817087,0.361234396669056,0.458505612140278,0.646589231450665,1
"LOC111124863",33.9912394583911,-0.132566363495842,0.360773344030815,0,1,1
"LOC111124850",14.3566783446667,0.0851154116452759,0.300932164539947,0,1,1
"LOC111119716",0.905011589475516,-0.0591494790491698,0.12264266266734,0,1,1
"LOC111132898",7.26747322780138,-0.0667545186268859,0.340909852315828,0,1,1
"LOC111101169",6.24631844017691,-0.31954627509728,0.363794008568871,-0.191169380086461,0.848392892328012,1
"LOC111101176",0.71023070107236,0.0266372765193088,0.172269107387001,0,1,1
"LOC111101185",1.02182656446265,0.0603373314284607,0.152941844619606,0,1,1
"LOC111101139",17.4651418194217,-0.00590752007185682,0.330516163743097,0,1,1
"LOC111101156",40.6764953174076,0.180732043873955,0.349331667516952,0,1,1
"LOC111104454",0.495754514350373,-0.097447185773848,0.167877449983472,0,1,1
"LOC111102578",1.40027077906094,-0.200698000522072,0.329097944782304,0,1,1
"LOC111108648",47.2575445490869,-0.118253197696695,0.172627871749557,0,1,1
"LOC111127270",1.22929800986634,0.264735298065165,0.291954870170741,0.050471150066953,0.959746939005882,1
"LOC111117581",54.5698589611537,-0.121128210454227,0.214604102073346,0,1,1
