"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111120752",0.345611761382406,-0.170498988505896,0.216508039134113,0,1,NA,NA,"phase2"
"LOC111109452",1.5973301650215,0.176594623621907,0.220768094221421,0,1,1,"not significant","phase2"
"LOC111124802",213.001305426664,-0.0246124142245697,0.0806288048229969,0,1,1,"not significant","phase2"
"LOC111101273",76.7130207987342,-0.147622826583137,0.113452361677918,0,1,1,"not significant","phase2"
"LOC111101250",123.474814925949,0.0200547362767834,0.130868613743702,0,1,1,"not significant","phase2"
"LOC111101262",269.444399302106,0.0341049736422967,0.0878924126552909,0,1,1,"not significant","phase2"
"LOC111133260",29.4470879831386,0.857967023117029,0.248941803661185,2.4422054238206,0.0145978375258975,0.713015204788909,"not significant","phase2"
"LOC111113503",16.7528215547708,0.0609487693251398,0.228523014207025,0,1,1,"not significant","phase2"
"LOC111102393",24.8434717066399,-0.182141315488929,0.199115351071587,0,1,1,"not significant","phase2"
"LOC111119377",48.5414494330275,0.390669741203218,0.280920411989199,0.500745888157913,0.616549972708017,1,"not significant","phase2"
"LOC111101799",13.248074295177,-0.718089954335545,0.252198240208671,-1.85603973266524,0.0634478949225331,1,"not significant","phase2"
"LOC111117743",1.20017744509841,-0.548170407329278,0.285048591935305,-1.04603360888361,NA,NA,NA,"phase2"
"LOC111117672",235.02313851231,-0.170586787166392,0.0911662341165335,0,1,1,"not significant","phase2"
"LOC111114053",30.6913553957081,0.314991694738372,0.234220837665119,0.277480412871271,0.781411243826307,1,"not significant","phase2"
"LOC111109809",2.62732745230971,0.540674183192091,0.277415511335896,1.04779354907859,0.294733735279833,1,"not significant","phase2"
"LOC111135172",1.5935453832351,-0.237702986281575,0.164806931046713,0,1,1,"not significant","phase2"
"LOC111114201",510.164024735551,0.0885976866723802,0.0962169098002749,0,1,1,"not significant","phase2"
"LOC111114212",187.839356573486,0.308495523458253,0.0946959845424606,0.617719153994582,0.536760483729241,1,"not significant","phase2"
"LOC111138315",118.741842645973,0.110415981715898,0.123142930693298,0,1,1,"not significant","phase2"
"LOC111138321",124.288929781067,-0.163601591281981,0.117015756654983,0,1,1,"not significant","phase2"
"LOC111121058",64.6640601186964,-0.0934979865307323,0.185643927593212,0,1,1,"not significant","phase2"
"LOC111138070",2.69689945309621,-0.0339213903150123,0.116753711139359,0,1,1,"not significant","phase2"
"LOC111108878",0.539400869700061,0.119306212396375,0.147920225276174,0,1,NA,NA,"phase2"
"LOC111108901",13.1224307523866,-0.175453460969342,0.245805688967429,0,1,1,"not significant","phase2"
"LOC111130095",33.9420358820191,-0.170675969808303,0.180010195363345,0,1,1,"not significant","phase2"
"LOC111103224",2.09556628354375,-0.458894610173206,0.265248460300589,-0.787543158352281,0.430963974295552,1,"not significant","phase2"
"LOC111131060",0.087888588779907,0.0111721281367044,0.104176568301433,0,1,NA,NA,"phase2"
"LOC111131074",0.421478636555221,0.0280455059853332,0.121816940853127,0,1,NA,NA,"phase2"
"LOC111131094",0.0297622280717766,0.0131203854647542,0.104087827057476,0,1,NA,NA,"phase2"
"LOC111136780",216.982690188458,-0.228069883259264,0.119935993281606,0,1,1,"not significant","phase2"
"LOC111133372",264.055484675642,-0.145829041082735,0.110629487943367,0,1,1,"not significant","phase2"
"LOC111137104",104.09795845698,-0.0820511202302754,0.112170599625212,0,1,1,"not significant","phase2"
"LOC111099747",2.18868799110821,-0.172074669736571,0.283143312685013,0,1,1,"not significant","phase2"
"LOC111129066",0.276364643737533,-0.0699633798410207,0.105073050320414,0,1,NA,NA,"phase2"
"LOC111115406",7.65002372776508,0.00544005538959214,0.283933959035676,0,1,1,"not significant","phase2"
"LOC111114430",0.345190831887045,-0.0639004160100732,0.19716730457409,0,1,NA,NA,"phase2"
"LOC111129120",0,NA,NA,NA,NA,NA,NA,"phase2"
"LOC111113958",0.344330282089771,-0.0470057252992469,0.117249584261389,0,1,NA,NA,"phase2"
"LOC111103230",2.05804072545648,-0.168882184311808,0.279818056817358,0,1,1,"not significant","phase2"
"LOC111101640",0.407749395226686,-0.0771695615739341,0.228535773378779,0,1,NA,NA,"phase2"
"LOC111103163",1.23462369658909,-0.212395994009617,0.220488436090454,0,1,1,"not significant","phase2"
"LOC111103177",0.391585894058088,-0.131465276584606,0.145061216703299,0,1,NA,NA,"phase2"
"LOC111102448",70.6902703541423,0.122037846760891,0.1505975290097,0,1,1,"not significant","phase2"
"LOC111129274",0.877841501893046,-0.141613605212702,0.265081083810685,0,1,1,"not significant","phase2"
"LOC111113346",57.1221491854594,0.0730197571614981,0.1583317466352,0,1,1,"not significant","phase2"
"LOC111100652",63.9174720913098,-0.565849962457246,0.182068965674316,-1.73478198927233,0.0827794274991263,1,"not significant","phase2"
"LOC111134791",212.497088041231,-0.0983654469264979,0.103681375823372,0,1,1,"not significant","phase2"
"LOC111128971",89.8721501382765,-0.0104861111405248,0.123256486655452,0,1,1,"not significant","phase2"
"LOC111104153",15.5736447049123,1.07231007160668,0.222240374426507,3.70009308042544,0.000215520403113768,0.0797460818157656,"not significant","phase2"
"LOC111134573",0.182068033661436,-0.00556150257422627,0.106370293299315,0,1,NA,NA,"phase2"
"LOC111129318",2.06610241461617,-0.371226411706368,0.228519538727363,-0.530485981117783,NA,NA,NA,"phase2"
"LOC111134552",0.538108435040631,0.155403999535697,0.194730381295769,0,1,NA,NA,"phase2"
"LOC111134566",0.837233813592116,0.0428572367208667,0.17072121674945,0,1,NA,NA,"phase2"
"LOC111121733",56.0712729052945,0.397576989383051,0.151250462606114,0.975712648015967,0.329206882669614,1,"not significant","phase2"
